student_id,control_num,full_name,email,career,semester
1,2393810,Student 001,student001@uni.mx,Data Engineering,1
2,2346048,Student 002,student002@uni.mx,Robotics,4
3,2328289,Student 003,student003@uni.mx,Data Engineering,2
4,2387397,Student 004,student004@uni.mx,Embedded Systems,1
5,2313905,Student 005,student005@uni.mx,Data Engineering,4
6,2340495,Student 006,student006@uni.mx,Data Engineering,4
7,2395181,Student 007,student007@uni.mx,Embedded Systems,4
8,2368878,Student 008,student008@uni.mx,Biotechnology,1
9,2330926,Student 009,student009@uni.mx,Embedded Systems,6
10,2346421,Student 010,student010@uni.mx,Robotics,4
11,2354118,Student 011,student011@uni.mx,Data Engineering,2
12,2359797,Student 012,student012@uni.mx,Data Engineering,6
13,2355082,Student 013,student013@uni.mx,Biotechnology,1
14,2370217,Student 014,student014@uni.mx,Data Engineering,7
15,2320328,Student 015,student015@uni.mx,Biotechnology,6
16,2385674,Student 016,student016@uni.mx,Robotics,2
17,2316006,Student 017,student017@uni.mx,Robotics,5
18,2320458,Student 018,student018@uni.mx,Robotics,2
19,2359823,Student 019,student019@uni.mx,Biotechnology,8
20,2393320,Student 020,student020@uni.mx,Biotechnology,3
21,2358520,Student 021,student021@uni.mx,Biotechnology,4
22,2397841,Student 022,student022@uni.mx,Biotechnology,2
23,2389840,Student 023,student023@uni.mx,Robotics,4
24,2331417,Student 024,student024@uni.mx,Embedded Systems,7
25,2345382,Student 025,student025@uni.mx,Robotics,6
26,2317331,Student 026,student026@uni.mx,Robotics,1
27,2351347,Student 027,student027@uni.mx,Embedded Systems,5
28,2318675,Student 028,student028@uni.mx,Robotics,6
29,2337869,Student 029,student029@uni.mx,Embedded Systems,7
30,2394259,Student 030,student030@uni.mx,Embedded Systems,3
31,2344718,Student 031,student031@uni.mx,Robotics,4
32,2383579,Student 032,student032@uni.mx,Biotechnology,7
33,2386484,Student 033,student033@uni.mx,Embedded Systems,6
34,2338746,Student 034,student034@uni.mx,Robotics,8
35,2321915,Student 035,student035@uni.mx,Data Engineering,2
36,2330033,Student 036,student036@uni.mx,Robotics,7
37,2388172,Student 037,student037@uni.mx,Data Engineering,7
38,2360019,Student 038,student038@uni.mx,Embedded Systems,5
39,2382512,Student 039,student039@uni.mx,Data Engineering,2
40,2399353,Student 040,student040@uni.mx,Biotechnology,6
